stripped,original
minnesota state legislature,Minnesota State Legislature
minnesota state legislature,Minnesota State Legislature
national endowment for arts,Endowment for the Arts
beim foundation,the Beim Foundation
bush foundation,the Bush Foundation
butler family foundation,"the Butler Family
 Foundation"
lerner family foundation,Lerner Family Foundation
mcknight foundation,"the McKnight Foun-
 "
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
walker foundation,The Walker Foundation
wells fargo foundation minnesota,"Wells Fargo
 Foundation Minnesota"
west group,West Group
woessner freeman family foundation,"the Woessner Freeman
 Foundation"
statt arts board,STATt Arts Board
national endowment for arts,"the National Endowment for
 the Arts"
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
buuck family foundation,Buuck Family Foundation
bush foundation,the Bush Foundation
butler family foundation,Butler Family Foundation
lerner family foundation,Lerner Family Foundation
mcknight foundation,McKnight Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
walker foundation,The Walker Foundation
wells fargo foundation minnesota,"Wells
 Fargo Foundation Minnesota"
west group,West Group
woessner freeman family foundation,"the Woessner
 Freeman Foundation"
national endowment for arts,Endowment for the Arts
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Minnesota State Arts
minnesota state legislature,the Minnesota State Legislature
beim foundation,the Beim Foundation
bush foundation,the Bush Foundation
buder family foundation,the Buder Family Foundation
mcknight foundation,the McKnight Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
walker foundation,The Walker Foundation
wells fargo foundation minnesota,Wells Fargo Foundation Minnesota
west group,West Group
woessner freeman family foundation,Woessner Freeman Foundation
endowment jot arts,Endowment jot the Arts
national endowment for arts,Endowment for the Arts
minnesota state arts board,the Minnesota State Arts
buuck family foundation,"the Buuck Family
 Foundation"
bush foundation,the Bush Foundation
patrick and aimee butler family foundation,the Patrick and Aimee
butler family foundation,Butler Family Foundation
lerner family foundation,Lerner Family Foundation
mcknight foundation,McKnight Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
wells fargo foundation minnesota,Wells Fargo Foundation Minnesota
west group,"West
 Group"
woessner freeman family foundation,the Woessner Freeman Foundation
national endowment for arts,the National Endowment for the Arts
medtronic corporation,the Medtronic Corporation
minnesota state arts board,Minnesota State Arts Board
buuck family foundation,the Buuck Family Foundation
bush foundation,the Bush Foundation
patrick and aimee butler family foundation,the Patrick and Aimee Butler Family Foundation
lerner family foundation,Lerner Family Foundation
mcknight foundation,McKnight Foundation
outagamie foundation,the Outagamie Foundation
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
west group,West Group
woessner freeman family foundation,"the Woessner
 Freeman Foundation"
minnesota state arts board,Minnesota State Arts Board
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
national endowment for arts,"the National Endowment for the
 Arts"
buuck family foundation,Buuck Family Foundation
bush foundation,the Bush Foundation
lerner family foundation,the Lerner Family Foundation
mcknight foundation,"the McKnight Foun-
 "
outagamie foundation,the Outagamie Foundation
john and beverly rollwagen foundation,"the John and Beverly Rollwagen
 Foundation"
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
west group,West Group
woessner freeman family foundation,the Woessner Freeman Foundation
national endowment for arts,Endowment for the Arts
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
buuck family foundation,"the Buuck Family
 Foundation"
bush foundation,the Bush Foundation
grotto foundation,the Grotto Foundation
lerner family foundation,the Lerner Family Foundation
mcknight foundation,the McKnight Foundation
outagamie foundation,the Outagamie Foundation
john and beverly rollwagen foundation,"the John and Beverly Rollwagen
 Foundation"
target,Target
target foundation,the Target Foundation
west group,West Group
woessner freeman family foundation,"the Woessner Freeman
 Foundation"
"new york school, beat literary movement, and experimental strands of new american poetry.","the New York School, the
 Beat Literary Movement, and the experimental strands of the New American
 Poetry."
jack kerouac school of disembodied poetics at naropa university in,The Jack Kerouac School of Disembodied Poetics at Naropa University in
jack kerouac school (university of new mexico press),the Jack Kerouac School (University of New Mexico Press)
"angel hair anthology (granary books,","The Angel Hair Anthology (Granary Books,"
foundation for contemporary arts,"the
 Foundation for Contemporary Performance Arts"
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
buuck family foundation,the Buuck Family Foundation
bush foundation,the Bush Foundation
grotto foundation,the Grotto Foundation
lerner family foundation,Lerner Family Foundation
mcknight foundation,the McKnight Foundation
outagamie foundation,the Outagamie Foundation
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,"James R. Thorpe
 Foundation"
west group,West Group
woessner freeman family foundation,the Woessner Freeman Foundation
minnesota state arts board,Minnesota State Arts Board
endowment jor arts minnesota,Endowment jor the Arts MINNESOTA
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
national endowment for arts,Endowment for the Arts
bush foundation,the Bush Foundation
butler family foundation,"the Butler Family
 Foundation"
grotto foundation,the Grotto Foundation
lerner family foundation,"the Lerner Family
 Foundation"
mcknight foundation,the McKnight Foundation
pacific foundation,the Pacific Foundation
st. paul companies,St. Paul Companies
target,Target
target foundation,the Target Foundation
james r. thorpe foundation,James R. Thorpe Foundation
west group,West Group
woessner freeman family foundation,"the Woessner
 Freeman Foundation"
national endowment for arts,Endowment for the Arts
national endowment for arts,the National Endowment for the Arts
national endowment for arts,the National Endowment for the Arts
buuck family foundation,"the Buuck Family
 Foundation"
bush foundation,the Bush Foundation
grotto foundation,the Grotto Foundation
mcknight foundation,the McKnight Foundation
john and beverly rollwagen foundation,the John and Beverly Rollwagen Foundation
target,Target
target foundation,the Target Foundation
r. thorpe foundation,R. Thorpe Foundation
west group,West Group
woessner freeman family foundation,"the Woessner Freeman
 Foundation"
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
national endowment for arts,Endowment for the Arts
jerome foundation,the Jerome Foundation
minnesota state arts board,"the Minnesota
 State Arts Board"
national endowment for arts,the National Endowment for the Arts
target,Target
buuck family foundation,the Buuck Family Foundation
patrick and aimee butler family foundation,the Patrick and Aimee Butler Family Foundation
consortium book sales and distribution,"Consortium
 Book Sales and Distribution"
foundation for contemporary arts,the Foundation for Contemporary
performance arts,Performance Arts
stephen and isabel keating,Stephen and Isabel Keating
outagamie foundation,the Outagamie Foundation
pacific foundation,the Pacific Foundation
west group,West Group
woessner freeman family foundation,"the Woessner Freeman Family
 Foundation"
national endowment for arts,Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,Endowment for the Arts
mcknight foundation,McKnight Foundation
target,Target
